system:index,date,lat,long,srad,.geo
20220101,2022-01-01,34.06659,-118.22688,225.80999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102,2022-01-02,34.06659,-118.22688,268.2799987792969,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103,2022-01-03,34.06659,-118.22688,259.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104,2022-01-04,34.06659,-118.22688,271.17999267578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105,2022-01-05,34.06659,-118.22688,281.5199890136719,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106,2022-01-06,34.06659,-118.22688,255.92999267578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107,2022-01-07,34.06659,-118.22688,176.10000610351562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108,2022-01-08,34.06659,-118.22688,235.22999572753906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220109,2022-01-09,34.06659,-118.22688,298.55999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220110,2022-01-10,34.06659,-118.22688,268.3999938964844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220111,2022-01-11,34.06659,-118.22688,283.7099914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220112,2022-01-12,34.06659,-118.22688,273.95001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220113,2022-01-13,34.06659,-118.22688,221.32000732421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220114,2022-01-14,34.06659,-118.22688,257.3399963378906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220115,2022-01-15,34.06659,-118.22688,215.82000732421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220116,2022-01-16,34.06659,-118.22688,210.64999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220117,2022-01-17,34.06659,-118.22688,81.91000366210938,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220118,2022-01-18,34.06659,-118.22688,135.44000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220119,2022-01-19,34.06659,-118.22688,236.6199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220120,2022-01-20,34.06659,-118.22688,294.0899963378906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220121,2022-01-21,34.06659,-118.22688,279.9700012207031,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220122,2022-01-22,34.06659,-118.22688,252.64999389648438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220123,2022-01-23,34.06659,-118.22688,288.7699890136719,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220124,2022-01-24,34.06659,-118.22688,280.67999267578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220125,2022-01-25,34.06659,-118.22688,286.45001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220126,2022-01-26,34.06659,-118.22688,313.70001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220127,2022-01-27,34.06659,-118.22688,313.05999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220128,2022-01-28,34.06659,-118.22688,305.7699890136719,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220129,2022-01-29,34.06659,-118.22688,275.79998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220130,2022-01-30,34.06659,-118.22688,307.7799987792969,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220131,2022-01-31,34.06659,-118.22688,251.82000732421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220201,2022-02-01,34.06659,-118.22688,229.00999450683594,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220202,2022-02-02,34.06659,-118.22688,309.5299987792969,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220203,2022-02-03,34.06659,-118.22688,329.8500061035156,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220204,2022-02-04,34.06659,-118.22688,339.0899963378906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220205,2022-02-05,34.06659,-118.22688,355.6199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220206,2022-02-06,34.06659,-118.22688,350.7300109863281,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220207,2022-02-07,34.06659,-118.22688,341.9599914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220208,2022-02-08,34.06659,-118.22688,353.05999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220209,2022-02-09,34.06659,-118.22688,352.8599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220210,2022-02-10,34.06659,-118.22688,320.260009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220211,2022-02-11,34.06659,-118.22688,345.7099914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220212,2022-02-12,34.06659,-118.22688,364.0799865722656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220213,2022-02-13,34.06659,-118.22688,343.739990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220214,2022-02-14,34.06659,-118.22688,305.3599853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220215,2022-02-15,34.06659,-118.22688,206.8300018310547,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220216,2022-02-16,34.06659,-118.22688,319.9100036621094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220217,2022-02-17,34.06659,-118.22688,351.1600036621094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220218,2022-02-18,34.06659,-118.22688,359.4100036621094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220219,2022-02-19,34.06659,-118.22688,343.7099914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220220,2022-02-20,34.06659,-118.22688,291.20001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220221,2022-02-21,34.06659,-118.22688,160.82000732421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220222,2022-02-22,34.06659,-118.22688,196.42999267578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220223,2022-02-23,34.06659,-118.22688,275.2099914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220224,2022-02-24,34.06659,-118.22688,361.1499938964844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220225,2022-02-25,34.06659,-118.22688,373.1600036621094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220226,2022-02-26,34.06659,-118.22688,403.07000732421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220227,2022-02-27,34.06659,-118.22688,418.8399963378906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220228,2022-02-28,34.06659,-118.22688,413.20001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220301,2022-03-01,34.06659,-118.22688,399.95001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220302,2022-03-02,34.06659,-118.22688,380.80999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220303,2022-03-03,34.06659,-118.22688,269.6400146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220304,2022-03-04,34.06659,-118.22688,193.77999877929688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220305,2022-03-05,34.06659,-118.22688,256.4200134277344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220306,2022-03-06,34.06659,-118.22688,377.1600036621094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220307,2022-03-07,34.06659,-118.22688,410.4800109863281,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220308,2022-03-08,34.06659,-118.22688,390.44000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220309,2022-03-09,34.06659,-118.22688,367.4200134277344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220310,2022-03-10,34.06659,-118.22688,314.8399963378906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220311,2022-03-11,34.06659,-118.22688,435.6099853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220312,2022-03-12,34.06659,-118.22688,431.239990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220313,2022-03-13,34.06659,-118.22688,430.4100036621094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220314,2022-03-14,34.06659,-118.22688,432.3900146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220315,2022-03-15,34.06659,-118.22688,420.6600036621094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220316,2022-03-16,34.06659,-118.22688,440.3299865722656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220317,2022-03-17,34.06659,-118.22688,447.55999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220318,2022-03-18,34.06659,-118.22688,413.1600036621094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220319,2022-03-19,34.06659,-118.22688,321.4800109863281,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220320,2022-03-20,34.06659,-118.22688,409.3299865722656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220321,2022-03-21,34.06659,-118.22688,459.5299987792969,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220322,2022-03-22,34.06659,-118.22688,489.7799987792969,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220323,2022-03-23,34.06659,-118.22688,459.4100036621094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220324,2022-03-24,34.06659,-118.22688,441.6400146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220325,2022-03-25,34.06659,-118.22688,426.94000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220326,2022-03-26,34.06659,-118.22688,420.6700134277344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220327,2022-03-27,34.06659,-118.22688,290.989990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220328,2022-03-28,34.06659,-118.22688,180.61000061035156,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220329,2022-03-29,34.06659,-118.22688,357.1400146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220330,2022-03-30,34.06659,-118.22688,330.9599914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220331,2022-03-31,34.06659,-118.22688,246.72999572753906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220401,2022-04-01,34.06659,-118.22688,372.80999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220402,2022-04-02,34.06659,-118.22688,274.239990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220403,2022-04-03,34.06659,-118.22688,318.2300109863281,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220404,2022-04-04,34.06659,-118.22688,443.0799865722656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220405,2022-04-05,34.06659,-118.22688,523.4600219726562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220406,2022-04-06,34.06659,-118.22688,542.1199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220407,2022-04-07,34.06659,-118.22688,537.1300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220408,2022-04-08,34.06659,-118.22688,508.9200134277344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220409,2022-04-09,34.06659,-118.22688,427.42999267578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220410,2022-04-10,34.06659,-118.22688,264.1000061035156,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220411,2022-04-11,34.06659,-118.22688,299.1199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220412,2022-04-12,34.06659,-118.22688,443.0400085449219,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220413,2022-04-13,34.06659,-118.22688,463.0899963378906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220414,2022-04-14,34.06659,-118.22688,470.8800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220415,2022-04-15,34.06659,-118.22688,439.6400146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220416,2022-04-16,34.06659,-118.22688,422.1000061035156,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220417,2022-04-17,34.06659,-118.22688,439.19000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220418,2022-04-18,34.06659,-118.22688,474.1499938964844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220419,2022-04-19,34.06659,-118.22688,374.2200012207031,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220420,2022-04-20,34.06659,-118.22688,388.04998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220421,2022-04-21,34.06659,-118.22688,324.2799987792969,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220422,2022-04-22,34.06659,-118.22688,418.5400085449219,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220423,2022-04-23,34.06659,-118.22688,557.3200073242188,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220424,2022-04-24,34.06659,-118.22688,571.0700073242188,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220425,2022-04-25,34.06659,-118.22688,560.6599731445312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220426,2022-04-26,34.06659,-118.22688,499.5899963378906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220427,2022-04-27,34.06659,-118.22688,421.8299865722656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220428,2022-04-28,34.06659,-118.22688,410.1700134277344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220429,2022-04-29,34.06659,-118.22688,513.8499755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220430,2022-04-30,34.06659,-118.22688,509.04998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220501,2022-05-01,34.06659,-118.22688,438.8800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220502,2022-05-02,34.06659,-118.22688,354.0400085449219,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220503,2022-05-03,34.06659,-118.22688,421.8900146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220504,2022-05-04,34.06659,-118.22688,531.8699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220505,2022-05-05,34.06659,-118.22688,502.7200012207031,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220506,2022-05-06,34.06659,-118.22688,502.45001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220507,2022-05-07,34.06659,-118.22688,412.45001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220508,2022-05-08,34.06659,-118.22688,333.69000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220509,2022-05-09,34.06659,-118.22688,455.05999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220510,2022-05-10,34.06659,-118.22688,504.80999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220511,2022-05-11,34.06659,-118.22688,538.4400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220512,2022-05-12,34.06659,-118.22688,586.3699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220513,2022-05-13,34.06659,-118.22688,582.5599975585938,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220514,2022-05-14,34.06659,-118.22688,568.77001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220515,2022-05-15,34.06659,-118.22688,519.260009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220516,2022-05-16,34.06659,-118.22688,410.19000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220517,2022-05-17,34.06659,-118.22688,436.2300109863281,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220518,2022-05-18,34.06659,-118.22688,423.5799865722656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220519,2022-05-19,34.06659,-118.22688,297.7099914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220520,2022-05-20,34.06659,-118.22688,279.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220521,2022-05-21,34.06659,-118.22688,320.9200134277344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220522,2022-05-22,34.06659,-118.22688,431.70001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220523,2022-05-23,34.06659,-118.22688,477.17999267578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220524,2022-05-24,34.06659,-118.22688,475.0299987792969,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220525,2022-05-25,34.06659,-118.22688,466.1600036621094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220526,2022-05-26,34.06659,-118.22688,448.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220527,2022-05-27,34.06659,-118.22688,393.6000061035156,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220528,2022-05-28,34.06659,-118.22688,367.3800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220529,2022-05-29,34.06659,-118.22688,455.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220530,2022-05-30,34.06659,-118.22688,486.54998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220531,2022-05-31,34.06659,-118.22688,551.3400268554688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220601,2022-06-01,34.06659,-118.22688,556.1099853515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220602,2022-06-02,34.06659,-118.22688,500.55999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220603,2022-06-03,34.06659,-118.22688,416.0199890136719,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220604,2022-06-04,34.06659,-118.22688,398.69000244140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220605,2022-06-05,34.06659,-118.22688,480.3399963378906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220606,2022-06-06,34.06659,-118.22688,476.54998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220607,2022-06-07,34.06659,-118.22688,479.7099914550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220608,2022-06-08,34.06659,-118.22688,493.0799865722656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220609,2022-06-09,34.06659,-118.22688,534.219970703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220610,2022-06-10,34.06659,-118.22688,528.760009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220611,2022-06-11,34.06659,-118.22688,506.1199951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220612,2022-06-12,34.06659,-118.22688,500.989990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220613,2022-06-13,34.06659,-118.22688,456.45001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220614,2022-06-14,34.06659,-118.22688,514.030029296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220615,2022-06-15,34.06659,-118.22688,536.9400024414062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220616,2022-06-16,34.06659,-118.22688,498.7799987792969,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220617,2022-06-17,34.06659,-118.22688,442.1600036621094,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220618,2022-06-18,34.06659,-118.22688,501.0799865722656,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220619,2022-06-19,34.06659,-118.22688,568.489990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220620,2022-06-20,34.06659,-118.22688,594.4600219726562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220621,2022-06-21,34.06659,-118.22688,547.260009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220622,2022-06-22,34.06659,-118.22688,523.5999755859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220623,2022-06-23,34.06659,-118.22688,535.260009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220624,2022-06-24,34.06659,-118.22688,552.3800048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220625,2022-06-25,34.06659,-118.22688,567.4600219726562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220626,2022-06-26,34.06659,-118.22688,554.3699951171875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220627,2022-06-27,34.06659,-118.22688,544.1300048828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220628,2022-06-28,34.06659,-118.22688,516.239990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220629,2022-06-29,34.06659,-118.22688,518.239990234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220630,2022-06-30,34.06659,-118.22688,504.4700012207031,"{""type"":""MultiPoint"",""coordinates"":[]}"
